序號,河川名稱,河川代碼,階層,上游河川,主流水系
2.0,小坑溪,102000,1,,小坑溪
3.0,乾華溪,103000,1,,乾華溪
4.0,石門溪,104000,1,,石門溪
5.0,老梅溪,105000,1,,老梅溪
6.0,楓林溪,106000,1,,楓林溪
7.0,八甲溪,107000,1,,八甲溪
8.0,埔坪溪,108000,1,,埔坪溪
9.0,八蓮溪,109000,1,,八蓮溪
10.0,大屯溪,110000,1,,大屯溪
11.0,後州溪,111000,1,,後州溪
12.0,興仁溪,112000,1,,興仁溪
13.0,林子溪,113000,1,,林子溪
14.0,淡水河,114000,1,,淡水河
,大漢溪,114010,2,淡水河,淡水河
,三峽溪,114011,3,大漢溪,淡水河
,大豹溪,11401B,4,三峽溪,淡水河
,麻園溪,11401C,4,三峽溪,淡水河
,中埔溪,11401D,4,三峽溪,淡水河
,竹崙溪,11401E,4,三峽溪,淡水河
,竹坑溪,11401F,4,三峽溪,淡水河
,鶯歌溪(兔子坑溪排水),114012,3,大漢溪,淡水河
,塔寮坑溪排水,114013,3,大漢溪,淡水河
,塔克金溪,114014,3,大漢溪,淡水河
,三光溪,114015,3,大漢溪,淡水河
,泰崗溪,114016,3,大漢溪,淡水河
,白石溪(薩克雅尖溪),114017,3,大漢溪,淡水河
,玉峰溪(馬里闊丸溪),114018,3,大漢溪,淡水河
,永福溪幹線,114019,3,大漢溪,淡水河
,街口溪幹線,11401A,3,大漢溪,淡水河
,觀音溪幹線,11401H,3,大漢溪,淡水河
,三坑溪幹線,11401I,3,大漢溪,淡水河
,打鐵溪幹線,11401J,3,大漢溪,淡水河
,二坪溪幹線,11401K,3,大漢溪,淡水河
,新店溪,114020,2,淡水河,淡水河
,南勢溪,114021,3,新店溪,淡水河
,軋孔溪,11402P,4,南勢溪,淡水河
,大羅蘭溪,11402Q,4,南勢溪,淡水河
,桶後溪,11402A,4,南勢溪,淡水河
,北勢溪,114022,3,新店溪,淡水河
,後寮溪,11402B,4,北勢溪,淡水河
,溪尾寮溪,11402C,4,北勢溪,淡水河
,灣潭溪,11402E,4,北勢溪,淡水河
,金瓜寮溪,11402F,4,北勢溪,淡水河
,石硿子溪,11402G,4,北勢溪,淡水河
,後坑溪,11402H,4,北勢溪,淡水河
,𩻸魚堀溪,11402O,4,北勢溪,淡水河
,景美溪,114023,3,新店溪,淡水河
,烏塗溪,11402I,4,景美溪,淡水河
,指南溪,11402J,4,景美溪,淡水河
,老泉溪,11402K,4,景美溪,淡水河
,無名溪,11402L,4,景美溪,淡水河
,中間溪,11402M,4,景美溪,淡水河
,永定溪,11402N,4,景美溪,淡水河
,青潭溪,114024,3,新店溪,淡水河
,基隆河,114030,2,淡水河,淡水河
,深澳坑溪排水,11403O,3,基隆河,淡水河
,大內坑溪排水,11403P,3,基隆河,淡水河
,暖暖溪（含東勢坑溪）,114031,3,基隆河,淡水河
,大武崙溪,114032,3,基隆河,淡水河
,拔西猴溪,114033,3,基隆河,淡水河
,瑪陵坑溪,114034,3,基隆河,淡水河
,友蚋溪,114035,3,基隆河,淡水河
,保長坑溪,114036,3,基隆河,淡水河
,茄苳溪,114037,3,基隆河,淡水河
,禮門溪,114038,3,基隆河,淡水河
,智慧溪,114039,3,基隆河,淡水河
,北港溪,11403A,3,基隆河,淡水河
,康誥坑溪,11403B,3,基隆河,淡水河
,下寮溪,11403C,3,基隆河,淡水河
,大坑溪排水,11403D,3,基隆河,淡水河
,四分溪,11403E,3,基隆河,淡水河
,草濫溪,11403F,3,基隆河,淡水河
,內溝溪排水,11403G,3,基隆河,淡水河
,安泰溪,11403R,4,內溝溪排水,淡水河
,內雙溪,11403S,4,內溝溪排水,淡水河
,外雙溪,11403T,4,內溝溪排水,淡水河
,猴洞坑溪,11403U,4,內溝溪排水,淡水河
,磺港溪,11403J,3,基隆河,淡水河
,貴子坑溪,11403K,3,基隆河,淡水河
,石厝坑溪,11403L,3,基隆河,淡水河
